acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
BLAMIC1,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia micantipennis,Sharp,micantipennis,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMIC1,target,BEETLE
BLAMIC2,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia micans,Sharp,micans,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMIC2,target,BEETLE
BLAMIC3,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia microps,Sharp,microps,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMIC3,target,BEETLE
BLAMOE,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia moerens,Sharp,moerens,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMOE,target,BEETLE
BLAMOL,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia molokaiensis,Sharp,molokaiensis,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMOL,target,BEETLE
BLAMUN,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia munroi,Perkins,munroi,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMUN,target,BEETLE
BLAMUS,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia muscicola,Blackburn,muscicola,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMUS,target,BEETLE
BLAMUT,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia mutabilis,Blackburn,mutabilis,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMUT,target,BEETLE
BLAMYS,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia mystica,Blackburn,mystica,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMYS,target,BEETLE
BLAOCE,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia oceanica,Blackburn,oceanica,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAOCE,target,BEETLE
