acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
CYMAGG,Actinopterygii,Embiotocidae,Cymatogaster,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Cymatogaster aggregata,Gibbons,aggregata,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMAGG,target,FISH
CYMSP,Actinopterygii,Embiotocidae,Cymatogaster,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=169738 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=169738, accessed 31 Aug 2017",Perciformes,Chordata,Cymatogaster sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMSP,target,FISH
CYPANA,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella analostana,Girard,analostana,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPANA,target,FISH
CYPARC,Actinopterygii,Cyprinodontidae,Cyprinodon,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Cyprinodon arcuatus,Minckley & Miller,arcuatus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPARC,target,FISH
CYPBOV,Actinopterygii,Cyprinodontidae,Cyprinodon,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Cyprinodon bovinus,Baird & Girard,bovinus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPBOV,target,FISH
CYPCAE,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella caerulea,(Jordan),caerulea,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPCAE,target,FISH
CYPCAL,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella callisema,(Jordan),callisema,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPCAL,target,FISH
CYPCAL1,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella callistia,(Jordan),callistia,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPCAL1,target,FISH
CYPCAL2,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella callitaenia,(Bailey & Gibbs),callitaenia,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPCAL2,target,FISH
CYPCAM,Actinopterygii,Cyprinidae,Cyprinella,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cyprinella camura,(Jordan & Meek),camura,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPCAM,target,FISH
