neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AEDAUR,MOSQUITO,True,80821,Aedes aurifer,,Aedes aurifer,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aurifer,,,,,,,
AEDBAH,MOSQUITO,True,80822,Aedes bahamensis,,Aedes bahamensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes bahamensis,,,,,,,
AEDBIC,MOSQUITO,True,80825,Aedes bicristatus,,Aedes bicristatus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes bicristatus,,,,,,,
AEDBIM,MOSQUITO,True,80826,Aedes bimaculatus,,Aedes bimaculatus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes bimaculatus,,,,,,,
AEDBRE,MOSQUITO,True,80827,Aedes brelandi,,Aedes brelandi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes brelandi,,,,,,,
AEDBUR,MOSQUITO,True,80828,Aedes burgeri,,Aedes burgeri,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes burgeri,,,,,,,
AEDCAM,MOSQUITO,True,80831,Aedes campestris,,Aedes campestris,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes campestris,,,,,,,
AEDCAN,MOSQUITO,True,89963,Aedes canadensis mathesoni,,Aedes canadensis mathesoni,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes canadensis,Aedes canadensis mathesoni,,,,,,
AEDCAN1,MOSQUITO,True,80836,Aedes cantator,,Aedes cantator,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes cantator,,,,,,,
AEDCAN2,MOSQUITO,True,80835,Aedes canadensis,,Aedes canadensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes canadensis,,,,,,,
