neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
PSEHOL,BEETLE,True,78448,Pseudanophthalmus holsingeri,,Pseudanophthalmus holsingeri,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus holsingeri,,,,,,,
PSEHOR,BEETLE,True,78449,Pseudanophthalmus horni,,Pseudanophthalmus horni,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus horni,,,,,,,
PSEHOR4,BEETLE,True,78450,Pseudanophthalmus hortulanus,,Pseudanophthalmus hortulanus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus hortulanus,,,,,,,
PSEHOR5,BEETLE,True,78542,Pseudaptinus horni,,Pseudaptinus horni,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Zuphiini,,Pseudaptinus,Pseudaptinus (Thalpius),,,Pseudaptinus horni,,,,,,,
PSEHUB1,BEETLE,True,78451,Pseudanophthalmus hubbardi,,Pseudanophthalmus hubbardi,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus hubbardi,,,,,,,
PSEHUB2,BEETLE,True,78452,Pseudanophthalmus hubrichti,,Pseudanophthalmus hubrichti,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus hubrichti,,,,,,,
PSEHUB3,BEETLE,True,78566,Pseudomorpha hubbardi,,Pseudomorpha hubbardi,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pseudomorphini,,Pseudomorpha,Pseudomorpha (Pseudomorpha),,,Pseudomorpha hubbardi,,,,,,,
PSEHUM,BEETLE,True,78453,Pseudanophthalmus humeralis,,Pseudanophthalmus humeralis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus humeralis,,,,,,,
PSEHYP1,BEETLE,True,78454,Pseudanophthalmus hypertrichosis,,Pseudanophthalmus hypertrichosis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus hypertrichosis,,,,,,,
PSEHYP2,BEETLE,True,78455,Pseudanophthalmus hypolithos,,Pseudanophthalmus hypolithos,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus hypolithos,,,,,,,
PSEILL,BEETLE,True,78456,Pseudanophthalmus illinoisensis,,Pseudanophthalmus illinoisensis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus illinoisensis,,,,,,,
PSEINE,BEETLE,True,78457,Pseudanophthalmus inexpectatus,,Pseudanophthalmus inexpectatus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus inexpectatus,,,,,,,
PSEINQ,BEETLE,True,78458,Pseudanophthalmus inquisitor,,Pseudanophthalmus inquisitor,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus inquisitor,,,,,,,
PSEINS1,BEETLE,True,78459,Pseudanophthalmus insularis,,Pseudanophthalmus insularis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus insularis,,,,,,,
PSEINS2,BEETLE,True,78543,Pseudaptinus insularis,,Pseudaptinus insularis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Zuphiini,,Pseudaptinus,Pseudaptinus (Pseudaptinus),,,Pseudaptinus insularis,,,,,,,
PSEINT1,BEETLE,True,78460,Pseudanophthalmus intermedius,,Pseudanophthalmus intermedius,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus intermedius,,,,,,,
PSEINT2,BEETLE,True,78461,Pseudanophthalmus intersectus,,Pseudanophthalmus intersectus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus intersectus,,,,,,,
PSEJON,BEETLE,True,78462,Pseudanophthalmus jonesi,,Pseudanophthalmus jonesi,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus jonesi,,,,,,,
PSEKRA,BEETLE,True,78463,Pseudanophthalmus krameri,,Pseudanophthalmus krameri,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus krameri,,,,,,,
PSEKRE,BEETLE,True,78464,Pseudanophthalmus krekeleri,,Pseudanophthalmus krekeleri,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus krekeleri,,,,,,,
PSELAL,BEETLE,True,78465,Pseudanophthalmus lallemanti,,Pseudanophthalmus lallemanti,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Trechinae,Trechini,,Pseudanophthalmus,,,,Pseudanophthalmus lallemanti,,,,,,,
