neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
DIPDOR2,HERPETOLOGY,True,88574,Dipsosaurus dorsalis dorsalis,,Dipsosaurus dorsalis dorsalis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Iguanidae,,,,Dipsosaurus,,,,Dipsosaurus dorsalis,Dipsosaurus dorsalis dorsalis,,,,,,
DIPLSP,HERPETOLOGY,True,80020,Diploglossus,,Diploglossus sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Diploglossidae,,,,Diploglossus,,,,,,,,,,,
DIPSSP,HERPETOLOGY,True,80023,Dipsosaurus,,Dipsosaurus sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Iguanidae,,,,Dipsosaurus,,,,,,,,,,,
DRYCOR,HERPETOLOGY,True,80026,Drymarchon corais,,Drymarchon corais,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymarchon,,,,Drymarchon corais,,,,,,,
DRYCOU,HERPETOLOGY,True,80027,Drymarchon couperi,,Drymarchon couperi,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymarchon,,,,Drymarchon couperi,,,,,,,
DRYMAR2,HERPETOLOGY,True,80030,Drymobius margaritiferus,,Drymobius margaritiferus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymobius,,,,Drymobius margaritiferus,,,,,,,
DRYMAR3,HERPETOLOGY,True,88576,Drymobius margaritiferus margaritiferus,,Drymobius margaritiferus margaritiferus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymobius,,,,Drymobius margaritiferus,Drymobius margaritiferus margaritiferus,,,,,,
DRYMEL,HERPETOLOGY,True,80028,Drymarchon melanurus,,Drymarchon melanurus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymarchon,,,,Drymarchon melanurus,,,,,,,
DRYMEL2,HERPETOLOGY,True,88575,Drymarchon melanurus erebennus,,Drymarchon melanurus erebennus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymarchon,,,,Drymarchon melanurus,Drymarchon melanurus erebennus,,,,,,
DRYMSP,HERPETOLOGY,True,80025,Drymarchon,,Drymarchon sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymarchon,,,,,,,,,,,
DRYMSP1,HERPETOLOGY,True,80029,Drymobius,,Drymobius sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Drymobius,,,,,,,,,,,
ELAPSP,HERPETOLOGY,True,80043,Elapidae,Class,Elapidae sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Elapidae,,,,,,,,,,,,,,,
ELAPSP1,HERPETOLOGY,True,80031,Elaphe,,Elaphe sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Colubridae,,,,Elaphe,,,,,,,,,,,
ELEANT,HERPETOLOGY,True,80046,Eleutherodactylus antillensis,,Eleutherodactylus antillensis,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus antillensis,,,,,,,
