acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AEDABS,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes dysanor,"Dyar, 1921",dysanor,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDDYS,target,MOSQUITO
AEDEXC,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes dytes,Martini,dytes,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDDYT,target,MOSQUITO
AEDEPA,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes epactius,"(Dyar and Knab, 1908)",epactius,Georgecraigius,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEPA,target,MOSQUITO
AEDTAE,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes epinolus,Dyar & Knab,epinolus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEPI,target,MOSQUITO
AEDJAP,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes eucleptes,"Dyar, 1921",eucleptes,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEUC,target,MOSQUITO
AEDEUE,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes euedes,"Howard, Dyar and Knab, 1913",euedes,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEUE,target,MOSQUITO
AEDVEX,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes euochrus,"Howard, Dyar and Knab, 1917",euochrus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEUO,target,MOSQUITO
AEDEXC,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes excrucians,"(Walker, 1856)",excrucians,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDEXC,target,MOSQUITO
AEDVEN,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes fisheri,"Dyar, 1917",fisheri,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDFIS,target,MOSQUITO
AEDFIT,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes fitchii,"(Felt and Young, 1904)",fitchii,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDFIT,target,MOSQUITO
