neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
NOTCHA,FISH,True,92324,Notropis chalybaeus,,Notropis chalybaeus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis chalybaeus,,,,,,,
NOTCHI,FISH,True,92325,Notropis chihuahua,,Notropis chihuahua,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis chihuahua,,,,,,,
NOTCHI1,FISH,True,92326,Notropis chiliticus,,Notropis chiliticus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis chiliticus,,,,,,,
NOTCHL,FISH,True,92327,Notropis chlorocephalus,,Notropis chlorocephalus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis chlorocephalus,,,,,,,
NOTCHR,FISH,True,92328,Notropis chrosomus,,Notropis chrosomus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis chrosomus,,,,,,,
NOTCRY,FISH,True,92296,Notemigonus crysoleucas,,Notemigonus crysoleucas,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notemigonus,,,,Notemigonus crysoleucas,,,,,,,
NOTCRY1,FISH,True,92383,Noturus crypticus,,Noturus crypticus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus crypticus,,,,,,,
NOTCUM,FISH,True,92329,Notropis cummingsae,,Notropis cummingsae,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis cummingsae,,,,,,,
NOTDOR,FISH,True,92330,Notropis dorsalis,,Notropis dorsalis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis dorsalis,,,,,,,
NOTEDW,FISH,True,92331,Notropis edwardraneyi,,Notropis edwardraneyi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis edwardraneyi,,,,,,,
NOTELE,FISH,True,92384,Noturus elegans,,Noturus elegans,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus elegans,,,,,,,
NOTELE1,FISH,True,92385,Noturus eleutherus,,Noturus eleutherus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus eleutherus,,,,,,,
NOTEXI,FISH,True,92386,Noturus exilis,,Noturus exilis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus exilis,,,,,,,
NOTFAS,FISH,True,92387,Noturus fasciatus,,Noturus fasciatus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus fasciatus,,,,,,,
NOTFLA,FISH,True,92388,Noturus flavater,,Noturus flavater,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus flavater,,,,,,,
NOTFLA1,FISH,True,92389,Noturus flavipinnis,,Noturus flavipinnis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus flavipinnis,,,,,,,
NOTFLA2,FISH,True,92390,Noturus flavus,,Noturus flavus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus flavus,,,,,,,
NOTFUN,FISH,True,92391,Noturus funebris,,Noturus funebris,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus funebris,,,,,,,
NOTFUR,FISH,True,92392,Noturus furiosus,,Noturus furiosus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus furiosus,,,,,,,
NOTGIL,FISH,True,92393,Noturus gilberti,,Noturus gilberti,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus gilberti,,,,,,,
NOTGIR,FISH,True,92332,Notropis girardi,,Notropis girardi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis girardi,,,,,,,
NOTGLA,FISH,True,92394,Noturus gladiator,,Noturus gladiator,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus gladiator,,,,,,,
NOTGRE,FISH,True,92333,Notropis greenei,,Notropis greenei,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis greenei,,,,,,,
NOTGYR,FISH,True,92395,Noturus gyrinus,,Noturus gyrinus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus gyrinus,,,,,,,
NOTHAR,FISH,True,92334,Notropis harperi,,Notropis harperi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis harperi,,,,,,,
NOTHET,FISH,True,92335,Notropis heterodon,,Notropis heterodon,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis heterodon,,,,,,,
NOTHET1,FISH,True,92336,Notropis heterolepis,,Notropis heterolepis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis heterolepis,,,,,,,
NOTHIL,FISH,True,92396,Noturus hildebrandi,,Noturus hildebrandi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus hildebrandi,,,,,,,
