neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
NEONDREX441002,ALGAE,True,140298,Microspora amoena,,Microspora amoena (Kützing) Rabenhorst,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora amoena,,,,,,,
NEONDREX441003,ALGAE,True,127410,Microspora,,Microspora sp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,,,,,,,,
NEONDREX441004,ALGAE,True,140302,Microspora quadrata,,Microspora quadrata Hazen,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora quadrata,,,,,,,
NEONDREX441005,ALGAE,True,130569,Microspora tumidula,,Microspora tumidula Hazen,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora tumidula,,,,,,,
NEONDREX441010,ALGAE,True,140299,Microspora crassior,,Microspora crassior (Hansgirg) Hazen,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora crassior,,,,,,,
NEONDREX441013,ALGAE,True,140300,Microspora floccosa,,Microspora floccosa (Vaucher) Thuret,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora floccosa,,,,,,,
NEONDREX441014,ALGAE,True,148037,Microspora amoena var. crassior,,Microspora amoena var. crassior (Kützing) Hansgirg,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora amoena,,Microspora amoena var. crassior,,,,,
NEONDREX441015,ALGAE,True,148038,Microspora amoena var. gracilis,,Microspora amoena var. gracilis (Wille) De Toni,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora amoena,,Microspora amoena var. gracilis,,,,,
NEONDREX442002,ALGAE,True,124432,Microthamnion kuetzingianum,,Microthamnion kuetzingianum Nägeli ex Kützing,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chaetophorales,,,Chaetophoraceae,,,,Microthamnion,,,,Microthamnion kuetzingianum,,,,,,,
NEONDREX44212,ALGAE,True,129269,Placoneis amphibola,,Placoneis amphibola (Cleve) Cox,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Cymbellales,,,Cymbellaceae,,,,Placoneis,,,,Placoneis amphibola,,,,,,,
